category,name,addr,tel
우리집앞영어교실,마포합정,서울 마포구 동교로72-1 2층,010-5655-7304
우리집앞영어교실,목동10단지,서울 양천구 목동서로400 203호(목동신시가지10단지아파트 B상가),02-2652-4280
우리집앞영어교실,목동12단지,서울 양천구 목동동로50 1219동 703호(목동신시가지12단지아파트),010-2567-7673
우리집앞영어교실,태강,"서울 노원구 공릉로34길62, 3층 301호(공릉동, 태강아파트)",010-3545-0864
우리집앞영어교실,하계우성,"서울 노원구 섬밭로232, 상가동 2층 204호 (하계동, 현대아파트,우성아파트)",010-2679-4673
우리집앞영어교실,북가좌,"서울 서대문구 거북골로20길6, 1층 101호 (북가좌동)",02-303-2773
우리집앞영어교실,한진돈암,서울 성북구 성북로4길52 1613호(스카이프라자 상가),02-922-0579
우리집앞영어교실,삼각산초,서울 강북구 삼양로19길132,02-987-0594
우리집앞영어교실,삼선,서울 성북구 보문로29길123,010-5349-7084
우리집앞영어교실,상계상수,"서울 노원구 동일로216길47, 514동 104호 (상계동, 상계주공5단지아파트)",02-949-0582
우리집앞영어교실,상신,서울 은평구 갈현로1길5 2층,010-9015-0959
우리집앞영어교실,화계,서울 강북구 솔매로50길78 2층,02-945-0594
우리집앞영어교실,서래,서울 서초구 방배로43길21 213호(삼호아파트 상가),010-2682-7807
우리집앞영어교실,서초우면,"서울 서초구 양재대로2길 100-111층 10호(우면동, 서초 리슈빌S)",010-3495-7117
우리집앞영어교실,서초포레스타,"서울 서초구 청계산로11길7-12, 701동 305호 (신원동, 서초포레스타7단지)",010-3218-0366
우리집앞영어교실,묵현,서울 중랑구 동일로157길60 103호(기림빌딩),010-5641-2057
우리집앞영어교실,마포우성,"서울 마포구 삼개로38 308호 (도화동, 도화3지구우성아파트상가)",02-717-0594
우리집앞영어교실,하계건영,"서울 노원구 섬밭로229 , 11동 908호 (하계동, 벽산아파트)",010-3252-2657
우리집앞영어교실,세곡리엔파크,서울 강남구 헌릉로570길34 204호(리엔파크프라자),010-3791-3123
우리집앞영어교실,면일,"서울 중랑구 용마산로100길7, 1층 (망우동)",010-4643-9613
우리집앞영어교실,면동,서울 중랑구 면목로357 2층(삼일빌딩),010-5592-4006
우리집앞영어교실,망우,서울 중랑구 망우로72길42,010-8775-5052
우리집앞영어교실,동원백점,서울 중랑구 양원역로37 3동 103호(경남아파트 ),010-8964-2967
우리집앞영어교실,독산초,"서울 금천구 시흥대로104길36 , 1층  (독산동)",010-2293-5232
우리집앞영어교실,대조,"서울 은평구 연서로18길16, 2층 202,203호 (대조동)",010-4265-5456
우리집앞영어교실,공덕삼성,서울 마포구 마포대로20길26 108동 103호 삼성래미안공덕2차아파트,010-5340-6213
우리집앞영어교실,증산,"서울 은평구 증산서길63-6 , 2층(증산동)",02-309-3777
우리집앞영어교실,중평,"서울 노원구 섬밭로263, 204호 (중계동, 롯데상가)",010-9086-8715
우리집앞영어교실,개봉푸르지오,서울 구로구 남부순환로775 106동 204호(개봉푸르지오상가),010-6747-6070
우리집앞영어교실,제기홍파,서울 동대문구 고산자로54길14 1층,010-2239-9577
우리집앞영어교실,제기종암초,서울 동대문구 약령시로16 2층,02-922-5535
우리집앞영어교실,정릉풍림,서울 성북구 솔샘로25길20 107동 202호(정릉풍림아이원아파트),010-7670-9872
우리집앞영어교실,정릉3동청덕,서울 성북구 솔샘로5길47 2층(영락그린빌 다동),010-9226-1278
우리집앞영어교실,장위1,"서울 성북구 화랑로33길39, 4층 (장위동, 창마빌딩)",010-8863-9878
우리집앞영어교실,장곡,서울 성북구 장월로23길15-3 1층,010-2445-0579
우리집앞영어교실,잠실파크리오,서울 송파구 올림픽로435 211동 302호(파크리오아파트),02-420-3415
우리집앞영어교실,신방학,서울 도봉구 방학로210 2층 201호(신동아타워아파트),02-956-0555
우리집앞영어교실,답십리동답,서울 동대문구 답십리로60길78 2층,010-7922-8989
우리집앞영어교실,답십리래미안위브,서울 동대문구 답십리로48길82 1층,02-2246-0585
우리집앞영어교실,석관,"서울 성북구 돌곶이로22길34  104호,105호 (석관동)",02-962-0579
우리집앞영어교실,삼양,"서울 강북구 솔샘로167 상가 103호 (미아동, 벽산라이브파크)",010-3003-8095
우리집앞영어교실,이촌용강,서울 용산구 이촌로65가길72 402호 (이촌동),02-797-0579
우리집앞영어교실,창동삼성,서울 도봉구 노해로66길21 111동 201호(삼성래미안아파트),02-991-6604
우리집앞영어교실,전곡,서울 동대문구 전농로23길8 4층,02-2244-0594
우리집앞영어교실,전동,서울 동대문구 전농로16길44,02-2246-0594
우리집앞영어교실,보문이지,서울 성북구 보문로55-1 304호,02-953-5041
우리집앞영어교실,반포서래,"서울 서초구 사평대로22길5 205호 (반포동, 성원빌딩)",010-5300-5238
우리집앞영어교실,이문,서울 동대문구 신이문로39 2층,010-6395-2789
우리집앞영어교실,불암산,서울 노원구 덕릉로94가길20 201호(청암2단지 상가),010-9283-8816
우리집앞영어교실,이문대림,서울 동대문구 한천로63길10 109동 1803호(이문e편한세상아파트),010-3384-3112
우리집앞영어교실,인헌,"서울 관악구 봉천로603, 302호 (봉천동)",010-3464-4180
우리집앞영어교실,송파송이로,서울 송파구 송이로29 3층,02-416-0512
우리집앞영어교실,상계은빛,서울 노원구 동일로245길162 301호(은빛아파트 1단지 상가),02-930-1285
우리집앞영어교실,신도,서울 은평구 진관2로90 113호(은평뉴타운마고정아파트 제319동 상가),010-5608-0559
우리집앞영어교실,신도림신미림,"서울 구로구 신도림로11가길36,  1층 5호 (신도림동, 미성아파트)",010-6412-9175
우리집앞영어교실,천동초,"서울 강동구 성안로201, 외 1필지 401호 (천호동)",02-477-0582
우리집앞영어교실,봉현초,"서울 관악구 관악로40길47  1층 7호 (봉천동, 현대상가)",--
우리집앞영어교실,크레시티영어,서울 동대문구 답십리로48길76 2층,02-2246-0363
우리집앞영어교실,신월1,서울 양천구 곰달래로5길78-1 1층,010-4532-7427
우리집앞영어교실,신정3동신기,서울 양천구 신정로260 303호(신트리4단지아파트 상가),010-4723-0551
우리집앞영어교실,쌍문,"서울 도봉구 해등로26길 72층 211호,213호 (쌍문동)",02-992-0594
우리집앞영어교실,쌍문남부,서울 도봉구 우이천로352 2층,010-7557-1342
우리집앞영어교실,암사프라이어팰리스,서울 강동구 고덕로140 201호(프라이어팰리스 상가),02-484-2000
우리집앞영어교실,양목캠퍼스,서울 양천구 목동로19길 401층(신정동),02-2608-0582
우리집앞영어교실,양재우성,서울 서초구 바우뫼로89 1층 2호(우성아파트 상가),010-3281-0241
우리집앞영어교실,옥수공부방,"서울 성동구 한림말3길10, 5층 (옥수동)",02-2281-0594
우리집앞영어교실,우이,서울 강북구 삼양로99길33 2층(우이교회 사회교육관),02-907-1475
우리집앞영어교실,월계사슴,서울 노원구 월계로370 132호(희성프라자),010-4103-5860
우리집앞영어교실,월곡꿈의숲,서울 성북구 오패산로16가길76 102(푸르지오아파트 상가),010-3446-1304
우리집앞영어교실,위례스타힐스,서울 송파구 위례광장로215 2503동 1004호(위례스타힐스),010-3049-1007
우리집앞영어교실,율현초,서울 강남구 밤고개로21길69 202호,010-8907-7303
우리집앞영어교실,은빛,"서울 은평구 진관3로15-35, 1010동 상가104호  (진관동, 은평뉴타운 구파발)",010-6268-8970
우리집앞영어교실,은평응암,서울 은평구 가좌로192 2층,010-8327-9787
우리집앞영어교실,이촌강변,서울 용산구 장문로6길97 3층,010-6215-0317
우리집앞영어교실,목동1,서울 양천구 신목로77-2 3층 (신정동),010-2758-6532
우리집앞영어교실,연희,서울 서대문구 연희로132 3층 우측 (연희동),010-3336-9148
우리집앞영어교실,중계동을지초,"서울 노원구 중계로225 상가동 210호 (중계동, 청구3차아파트)",02-3391-0594
우리집앞영어교실,가재울,서울 서대문구 모래내로15길50 2층,02-303-3770
우리집앞영어교실,(명)고은,서울 서대문구 모래내로434,010-5512-5325
우리집앞영어교실,방일,서울 서초구 방배로20길25-2,02-587-5479
우리집앞영어교실,한마을,"서울 구로구 경인로382, 상가1동 204호 (개봉동, 한마을아파트)",010-4788-4156
우리집앞영어교실,한진,서울 구로구 개봉로3길87 106동 102호(개봉한진아파트),010-9543-0775
우리집앞영어교실,벽산영어,"서울 관악구 은천로95 , 501동 206호 (봉천동, 벽산블루밍아파트)",010-2776-3330
우리집앞영어교실,상계벽산,서울 노원구 한글비석로396 108-223호( 벽산상가 ),010-2790-6775
우리집앞영어교실,상계상원,"서울 노원구 한글비석로54길 116112호(상계동, 상계주공아파트(13단지))",010-9281-3513
우리집앞영어교실,상승학원,서울 노원구 동일로192길37 2층,010-3471-8419
우리집앞영어교실,상암하늘초,"서울 마포구 월드컵북로502 , 2층 211호  (상암동, 월드컵파크 프라자)",010-4934-0579
우리집앞영어교실,상도,서울 동작구 성대로29길80 (상도동),02-815-8254
우리집앞영어교실,상암상지,서울 마포구 월드컵로42길40 2층 223호(상암근린상가),010-7234-2751
우리집앞영어교실,서신,"서울 은평구 증산로17길58, 1층 우측호 (신사동)",010-5847-5912
우리집앞영어교실,한청,"서울 양천구 목동서로2길22 2층 252,253,254호(한신청구아파트 상가)",010-8871-4287
우리집앞영어교실,선사현대,서울 강동구 상암로11 101동 304호(선사현대아파트상가),010-2822-2958
우리집앞영어교실,행당,서울 성동구 행당로112 2층,02-2281-0155
우리집앞영어교실,서이서초,서울 서초구 사임당로151 2층 216호 대한무지개종합상가,02-586-5667
우리집앞영어교실,홍제,"서울 서대문구 세검정로1길77 , 1층 우측 (홍은동)",02-396-5554
우리집앞영어교실,화곡8동신정,서울 강서구 곰달래로31가길11 2층(민연타운),02-2607-1238
우리집앞영어교실,신길6동대길,서울 영등포구 여의대방로81-3 1층(주원빌딩),010-5050-6112
우리집앞영어교실,신내새솔초,서울 중랑구 신내역로1길85 113-701(신내우디안1단지),010-3296-8422
우리집앞영어교실,신상도,"서울 동작구 상도로30길40,업무시설동 223호 (상도동, 상도2차두산위브트레지움아파트)",02-812-0582
우리집앞영어교실,신성초,서울 관악구 신림로28길75 101호,010-7565-2859
우리집앞영어교실,신수,서울 마포구 토정로17길20,02-714-0594
우리집앞영어교실,신내키움,"서울 중랑구 신내로 45201호 (신내동, 해성빌딩)",02-439-0589
우리집앞영어교실,쌍문백운학원,서울 도봉구 도봉로125길75,010-5255-2946
우리집앞영어교실,강명초,"서울 강동구 상일로12길54, 303호 (상일동)",010-4821-6585
우리집앞영어교실,개봉2동현대홈타운,서울 구로구 개봉로20길158 109호(현대홈타운2단지 상가),070-8959-1006
우리집앞영어교실,양재언남,서울 서초구 동산로54 201호,010-7545-0594
우리집앞영어교실,고덕1,서울 강동구 동남로81길 88 (고덕동)2층,010-2066-9805
우리집앞영어교실,용두신동아,서울 동대문구 천호대로68 2층,02-929-7905
우리집앞영어교실,용원,서울 노원구 섬밭로139 201동 202호(풍림아파트상가),010-8294-9996
우리집앞영어교실,우성3단지,"서울 동작구 동작대로29길110 210,211호(우성3단지 상가)",010-5180-8958
우리집앞영어교실,금화,서울 서대문구 독립문로14길12 1층,010-5495-0352
우리집앞영어교실,길음삼부,서울 성북구 동소문로248 102동 303호(삼부아파트상가),010-9299-1188
우리집앞영어교실,은평구산,서울 은평구 서오릉로15길5 201호,010-8776-9820
우리집앞영어교실,내곡포레,"서울 서초구 헌릉로8길45 , 201동 1503호 (내곡동, 서초 포레스타 2단지)",010-2579-6692
웰스터디,등록오류,서울 강동구 강동대로 207 (성내동),
웰스터디,웰스터디은평,서울 은평구 연서로18길 16 (대조동)16 201호,
웰스터디,웰스터디은평갈현,서울 은평구 연서로25길20-5 2층,
웰스터디,웰스터디이촌서부,서울 용산구 장문로6길97 3층,
웰스터디,웰스터디잠실중앙,서울 송파구 백제고분로11길35 302호,02-412-0582
웰스터디,웰스터디장안,서울 동대문구 답십리로60길78 2층,
웰스터디,웰스터디종로,서울 종로구 진흥로492 2층(한성빌딩) ,
웰스터디,웰스터디중계,"서울 노원구 중계로 225 (중계동, 청구3차아파트)청구아파트상가 210호",02-3494-0502
웰스터디,웰스터디중곡,서울 광진구 천호대로111길36 2층,
웰스터디,웰스터디창동,서울 도봉구 노해로69길15 602-2호(세정빌딩),02-998-0313
웰스터디,웰스터디천호,서울 강동구 풍성로 150 (성내동) 2층,02-479-1502
웰스터디,웰스터디홍제,"서울 서대문구 통일로420 3,4층",
웰스터디,웰스터디관악인헌,서울 관악구 봉천로 603 3층,
웰스터디,웰스터디송파위례,서울 송파구 위례광장로 188813호 좌측 (아이온스퀘어),02-407-3852
웰스터디,베이직 제17센터,서울 강서구 양천로 85 (방화동)4층,
웰스터디,웰스터디가락,"서울 송파구 오금로400,  403호 (아람빌딩)",
웰스터디,웰스터디가락남부,서울 송파구 양재대로62길11 201호(대성빌딩),
웰스터디,웰스터디광진,서울 광진구 뚝섬로545 (자양우성5차아파트 상가동 2층 201호),02-2201-0505
웰스터디,웰스터디구로중앙,"서울 구로구 경인로47길 134 (고척동, 대화빌딩)402호",
웰스터디,웰스터디금천,서울 금천구 탑골로5 601호,
웰스터디,웰스터디길음,"서울 성북구 동소문로 248 (길음동, 삼부아파트)삼부아파트상가 102/308 윤선생영어",02-941-0202
웰스터디,웰스터디노원,서울 노원구 동일로1335 7층(대원빌딩),
웰스터디,웰스터디대방,서울 동작구 상도로63 202호(진성마블로스),
웰스터디,웰스터디대치,서울 강남구 역삼로70길28,02-554-6166
웰스터디,웰스터디도곡,서울 강남구 남부순환로363길15 301호(인제빌딩),
웰스터디,웰스터디동작,서울 동작구 사당로264-1 4층(썬빌딩),02-523-4528
웰스터디,웰스터디둔촌,서울 강동구 명일로104 302호(신성둔촌미소지움아파트상가),02-486-6200
웰스터디,웰스터디마포서강,서울 마포구 큰우물로39-4 305호,02-717-2020
웰스터디,웰스터디마포서교,서울 마포구 월드컵북로224 406호,
웰스터디,웰스터디문정,서울 송파구 송이로32길4 3층,
웰스터디,웰스터디반포,서울 서초구 서초대로51길13 3층(신원빌딩),02-592-6101
웰스터디,웰스터디방배,"서울 서초구 도구로112 2,3층",
웰스터디,웰스터디방화,서울 강서구 양천로85 4층,
웰스터디,웰스터디삼양,"서울 강북구 솔샘로 167 (미아동, 벽산라이브파크)167 106호(벽산라이브파크A상가동)",
웰스터디,웰스터디서대문,"서울 서대문구 증가로 193 (북가좌동, 스카이빌)405호",
웰스터디,웰스터디서울직영,"서울 강동구 강동대로 207 (성내동)7층(성내동, 윤선생빌딩)",02-2225-5436
웰스터디,웰스터디석촌,서울 송파구 백제고분로42길18 2층(선경빌딩),02-415-0582
웰스터디,웰스터디성동중앙,"서울 성동구 행당로 84 (행당동, 행당 한진타운 종합상가)B 108호",02-2281-0505
웰스터디,웰스터디성북중앙,서울 성북구 보문로30길36 2층,
웰스터디,웰스터디신길,"서울 영등포구 가마산로79길7, B01호(신길동, 상가1동)",
웰스터디,웰스터디신내,서울 중랑구 신내로45 201호(해성빌딩),02-439-0589
웰스터디,웰스터디신림북부,서울 관악구 난곡로34길5 202호,
웰스터디,웰스터디신용산,서울 용산구 효창원로70길14 202호,
웰스터디,웰스터디양천,서울 양천구 목동동로130  304호(목동14단지아파트 A상가),
웰스터디,웰스터디영등포,서울 영등포구 선유동1로19-1 2층,
IGSE아카데미,IGSE종암,서울 성북구 종암로27길37 201~204호(삼성래미안단지상가),02-929-0707
스마트랜드,광진,서울 광진구 광나루로 635현대아파트 3단지 종합상가 401호,010-5880-0277
IGSE아카데미,IGSE종로창신,"서울 종로구 낙산길196 208동 3층 2,3,4호(쌍용아파트2지구상가)",02-747-0594
스마트랜드,서초,서울 서초구  도구로 1123층 302호,010-3745-9646
스마트랜드,송파,"서울 송파구  백제고분로42길 182층 202호(송파동, 선경빌딩 2층)",02-483-0582
IGSE아카데미,IGSE장위,"서울 성북구 월계로40길7 2층 203-1, 203-2호 (센트럴타운)",02-943-0598
IGSE아카데미,IGSE송파위례,"서울 송파구 위례광장로188, 813호(아이온스퀘어)",02-401-0205
IGSE아카데미,IGSE석계,서울 성북구 화랑로48길16 202호(두산아파트 주상가동),02-3295-0505
IGSE아카데미,IGSE서초,서울 서초구 효령로46길4 3층,02-523-0582
IGSE아카데미,IGSE서대문연가,서울 서대문구 증가로193 406호(스카이빌),02-325-3777
IGSE아카데미,IGSE상계,서울 노원구 동일로1549 6층(양성빌딩 ),02-930-1753
IGSE아카데미,IGSE사당,서울 동작구 사당로172 2층,02-523-0594
IGSE아카데미,IGSE불광녹번,서울 은평구 통일로780 2층 9호(미성아파트상가),02-356-0515
IGSE아카데미,IGSE보라매,서울 관악구 보라매로14 2층,02-878-0594
IGSE아카데미,IGSE방학,서울 도봉구 마들로649-20 201호(방학동메인프라자),02-3492-0505
IGSE아카데미,IGSE방배,"서울 서초구 도구로112 2,3층",02-532-7952
IGSE아카데미,IGSE문정,서울 송파구 새말로138-1 3층(일진빌딩),02-401-0805
IGSE아카데미,IGSE마포서교,서울 마포구 와우산로23길20-30 4층(성일빌딩),02-334-0502
IGSE아카데미,IGSE마포상암,서울 마포구 월드컵북로348 2층(신용빌딩),02-324-6431
IGSE아카데미,IGSE마곡,서울 강서구 마곡중앙5로81 701호(에스비타운),02-6959-3993
IGSE아카데미,IGSE동작,서울 동작구 사당로264-1 5층(썬빌딩),02-523-2058
IGSE아카데미,IGSE도봉,서울 도봉구 도봉로873 301호(화성빌딩),02-3494-0594
IGSE아카데미,IGSE도곡,"서울 강남구 남부순환로363길15 2,3층(한도빌딩)",02-3463-3320
IGSE아카데미,IGSE대방대림,서울 동작구 상도로63 2층(진성마블로스),02-825-0582
IGSE아카데미,IGSE대방,서울 동작구 여의대방로30 501호(현대상가 제112동A),02-821-2261
IGSE아카데미,IGSE반포,서울 서초구 신반포로38 J동 310호(구반포상가),02-596-7485
IGSE아카데미,IGSE길음뉴타운,서울 성북구 서경로75 2층,02-943-2020
스마트랜드,강동,서울 강동구  명일로 102신성둔촌미소지움 302호 304호,02-486-6200
IGSE아카데미,IGSE방이,서울 송파구 백제고분로50길43 2층(대영빌딩),02-401-3358
IGSE아카데미,IGSE방배남부,서울 서초구 청두곶2길3 3층,02-585-0555
