name,addr,tel,time
T일산뉴코아(행사),"경기도 고양시 일산동구 중앙로 1206지하2층 프로스펙스(마두동, 뉴코아백화점일산점)",01083636734,10:00 ~21:00
일산뉴코아,"경기도 고양시 일산동구 중앙로 1206 지하2층프로스펙스(마두동, 뉴코아백화점일산점)",0319040563,10:00 ~21:00
동수원뉴코아,"경기도 수원시 팔달구 인계로154, 5층(인계동, 동수원뉴코아아울렛)",031-239-8364,10:00 ~20:00
곤지암모다직영상설,경기도 광주시 초월읍 경충대로 9073층 모다아울렛곤지암점,031-797-3908,10:00 ~21:00
삼패아울렛직영,경기도 남양주시 고산로237 (삼패동),031-577-9875,10:00 ~21:00
삼패아울렛직영정상,경기도 남양주시 고산로237 (삼패동),031-577-9875,10:00 ~21:00
산본이마트,"경기도 군포시 산본로347, 3층(산본동, 이마트백화점)",031-399-3002,10:00 ~21:00
T산본이마트,"경기도 군포시 산본로347, 3층(산본동, 이마트백화점)",010-8885-3665,10:00 ~21:00
일산그랜드,"경기도 고양시 일산서구 중앙로1436(주엽동, 그랜드백화점)",031-919-0563,10:00 ~21:00
T일산그랜드,"경기도 고양시 일산서구 중앙로1436(주엽동, 그랜드백화점)",010-8383-1883,10:00 ~21:00
야탑NC,경기도 성남시 분당구야탑로81번길 11,031-709-5389,10:00 ~21:00
부천소풍NC,"경기도 부천시 원미구 송내대로 239, 5층 (원미구 송내대로 239, 5층 (상동, 소풍)",032-624-7409,10:00 ~21:00
유엠아이,"경기도 성남시 분당구 판교로 700E동 604, 604-1호(야탑동)",02-2261-3355,10:00 ~21:00
안산한양대,"경기도 안산시 상록구 삼리로 49102호(사동, 의류상설할인매장 B동)",031-407-7733,10:00 ~21:00
동탄메타폴리스,"경기도 화성시 동탄중앙로220,센터포인트몰 A블럭(반송동)",0313716971,10:00 ~21:00
T고잔이마트(행사),"경기도 안산시 단원구 원포공원1로 46, 3층(초지동, 이마트)",01096564328,10:00 ~21:00
고잔이마트,"경기도 안산시 단원구 원포공원1로 46, 3층(초지동, 이마트고)",0314144328,10:00 ~21:00
T김포홈플러스,경기 김포시 감정동692 홈플러스 1층,01089498197,10:00 ~21:00
평택뉴코아,경기도 평택시 경기대로279(비전동),031-650-6218,10:00 ~20:00
T평택뉴코아,경기도 평택시 경기대로279(비전동),031-650-6218,10:00 ~20:00
T안양이마트(행사코드),경기도 안양시 동안구 관악대로 104동안구 관악대로 104,010-2689-8325,10:00 ~21:00
남양주오렌지점,경기도 남양주시 화도읍 경춘로 1725,031-593-5332,10:00 ~21:00
지앤지컴퍼니,경기도 용인시 수지구 포은대로 362번길 2-19,031-266-3431,10:00 ~21:00
T수지이마트,경기 용인시 수지구 수지로 203 이마트 수지점,031-2964-9669,10:00 ~21:00
수원터미널NC,경기도 수원시 권선구 경수대로 270 (권선동),031-267-6200,10:00 ~20:00
수원터미널NC상설,경기도 수원시 권선구 경수대로 270 (권선동),031-267-6200,10:00 ~20:00
인덕원HYS,경기도 안양시 동안구 시민대로 396(평촌동),031-426-5425,10:00 ~21:00
오산모다아울렛,"경기도 오산시 경기대로 822-30, 모다아울렛지하1층",010-3739-9061,10:00 ~21:00
T신세계하남,경기도 하남시 신장동 616경기도 하남시 신장동 616,031-8072-1927,10:00 ~20:00
신세계하남,경기도 하남시 신장동 616경기도 하남시 신장동 616,031-8072-1927,10:00 ~20:00
포천송우HYS(상설),경기도 포천시소홀읍 호국로 441,031-543-1626,10:00 ~21:00
포천송우HYS,경기도 포천시소홀읍 호국로 441,031-543-1626,10:00 ~21:00
T안성이마트,경기도 안성시 중앙로 246(석정동) 이마트 안성점,031-671-4848,10:00 ~21:00
T시화이마트,경기도 시흥시 정왕동 1734-1,031-497-5082,10:00 ~21:00
T성남세이브존,경기 성남시 수정구 산성대로 337(세이브존성남점),031-730-1699,10:00 ~21:00
평택이마트,경기도 평택시 영신로29(지제동)영신로 29,0316544851,10:00 ~21:00
T화정세이브존,경기 고양시 덕양구 화정로 52(화정세이브존 1층),031-970-1991,10:00 ~21:00
양주VPlusHYS(상설),"경기 양주시 평화로1597번길 41 (회정동,1층)",031-894-2645,10:00 ~21:00
인덕원HYS (상설),경기도 안양시 동안구 시민대로 396시민대로396,031-426-5425,10:00 ~21:00
안양이마트,경기도 안양시 동안구 관악대로 104동안구 관악대로 104,0314263425,10:00 ~21:00
신평택HYS,경기 평택시경기대로951 (장당동),0316683800,10:00 ~21:00
신평택HYS상설,경기 평택시경기대로951 (장당동),0316683800,10:00 ~21:00
T동탄메타폴리스,경기도 화성시 동탄중앙로 220센터포인트몰 A블럭(반송동),01088853665,10:00 ~21:00
T평택이마트,경기도 평택시영신로29(지제동),01033673143,10:00 ~21:00
T동탄이마트,경기도 화성시 동탄 중앙로 220센터포인트몰 A블럭(반송동),01064846657,10:00 ~21:00
T영통롯데쇼핑,"경기 수원시 영통구 봉영로 157영통동, 롯데쇼핑영통점 2층",01053481335,10:00 ~21:00
죽전직영상설,"경기도 용인시 수지구 용구대로2779, 1층 7-8호 (죽전동, 다솜프라자)",031-265-1100,10:00 ~21:00
죽전직영,"경기도 용인시 수지구 용구대로2779, 1층 7-8호 (죽전동, 다솜프라자)",031-265-1100,10:00 ~21:00
현대판교,경기도 성남시 분당구 판교역로 146번길 20(백현동) 현대백화점 5층,031-5170-1551,10:00 ~20:00
롯데광교직영,경기도 수원시 영통구 도청로 10 롯데아울렛 광교점 2층,031-8064-2247,10:00 ~20:00
롯데광교상설,경기도 수원시 영통구 도청로 10 롯데아울렛 광교점 2층,031-8064-2247,10:00 ~21:00
모란뉴코아,"경기도 성남시 중원구 성남대로 1136, 모란뉴코아 6층 (성남경기도 성남시 중원구 성남대로 1136, 모란뉴코아 6층 (성남",010-7560-9868,10:00 ~21:00
동탄이마트,경기도 화성시 동탄 중앙로중앙로 376,031-8003-7896,10:00 ~21:00
T오산모다아울렛,경기도 오산시 경기대로 822-30,031-8043-1472,10:00 ~21:00
장암롯데마트,"경기도 의정부시 장곡로224, 1층(장암동, 롯데마트장암점내)",031-877-3863,10:00 ~21:00
T장암롯데마트,"경기도 의정부시 장곡로224, 1층(장암동, 롯데마트장암점내)",031-837-2717,10:00 ~21:00
T금촌,경기도 파주시 문화로103-2,031-941-2343,10:00 ~21:00
의왕롯데마트상설,"경기도 의왕시 계원대학로7, 2층(내손동, 롯데마트)",010-5255-1609,10:00 ~21:00
광명세이브존상설,"경기도 광명시 철망산로87(철산동, 세이브존)",02-2617-8848,10:00 ~21:00
부천상동세이브존직영,경기도 부천시 길주로105 부천상동세이브존 1층,010-7153-5653,10:00 ~21:00
북수원홈플러스,"경기도 수원시 장안구 경수대로930, 북수원홈플러스 3층(조원동)",031-242-6514,10:00 ~21:00
T북수원홈플러스,"경기도 수원시 장안구 경수대로930, 북수원홈플러스 3층(조원동)",031-242-6514,10:00 ~21:00
남양주이마트,"경기도 남양주시 늘을2로27(호평동, 남양주 호평이마트)",031-511-1990,10:00 ~21:00
T남양주이마트,"경기도 남양주시 늘을2로27(호평동, 남양주 호평이마트)",010-3137-3123,10:00 ~21:00
T부천소풍NC,"경기도 부천시 원미구 송내대로239, 5층",032-624-7409,10:00 ~21:00
T동수원뉴코아,"경기도 수원시 팔달구 인계로154, 5층(인계동, 동수원뉴코아아울렛)",031-239-8364,10:00 ~21:00
T분당2001,경기도 성남시 분당구 미금일로154번길 20(구미동),031-719-4799,10:00 ~21:00
T야탑NC,경기도 성남시 분당구 야탑로81번길 11,031-709-5389,10:00 ~21:00
T스타필드고양직영,"경기도 고양시 덕양구 고양대로1972-6, 2층 2256호 (동산동)",031-5173-2069,10:00 ~21:00
T안산한대대리점,"경기도 안산시 상록구 삼리로 49102호(사동, 의류상설할인매장 B동)",031-407-7733,10:00 ~21:00
T산본뉴코아,경기도 군포시 번영로504 (산본동) 뉴코아아울렛,031-392-0196,10:00 ~21:00
부천상동세이브존직영상설,경기도 부천시 길주로105 부천상동세이브존 1층,010-7153-5653,10:00 ~21:00
T평촌뉴코아,경기도 안양시 동안구 동안로119 (호계동)？뉴코아아울렛 평촌점,031-388-0211,10:00 ~21:00
T모란뉴코아,"경기도 성남시 중원구 성남대로1136, 모란뉴코아 6층",010-7560-9868,10:00 ~21:00
T남양주오렌지점,경기도 남양주시 화도읍 경춘로1725,031-593-5332,10:00 ~21:00
(주)동산아이앤지,경기 파주시 광탄면 장지산로282-1,010-3406-8575,10:00 ~21:00
롯데마트신갈점(행사),경기도 용인시 기흥구 중부대로375,010-6244-8453,10:00 ~21:00
롯데마트천천점(행사),경기도 수원시 장안구 만석로19번길 25-10,010-6244-8453,10:00 ~21:00
롯데마트덕소점(행사),경기도 남양주시 와부읍 덕소로97번길 33,010-6244-8453,10:00 ~21:00
롯데마트안산점(행사),경기 안산시 상록구 충장로427 롯데마트 안산점,010-6244-8453,10:00 ~21:00
롯데마트의점부점(행사),경기도 의정부시 산단로76번길116 (용현동),010-6244-8453,10:00 ~21:00
롯데마트구리점(행사),경기도 구리시 동구릉로 136번길57,010-6244-8453,10:00 ~21:00
사천HYS,경상남도 사천시 사천읍 읍내로 16-1,055-855-3838,10:00 ~21:00
김해진영상설(신발),경남 김해시 진영읍 진영리 797외그린상가4호,055-346-7330,10:00 ~21:00
사천HYS(상설),경남 사천시 사천읍 수석리 225-12번지,055-855-3838,10:00 ~21:00
롯데창원,경상남도 창원시 성산구 중앙대로 124(상남동),055-279-2567,10:00 ~20:00
롯데김해상설,경상남도 김해시 장유로 469 롯데아울렛 김해점 2층,055-900-2743,10:00 ~21:00
T창원뉴코아,경남 창원시 의창구 창원대로397번길 6(팔용동) 뉴코아아울렛B1호,055-270-3500,10:00 ~21:00
마산이마트,경상남도 창원시 마산합포구 서성로 3이마트지하1F,055-248-2462,10:00 ~21:00
합성동,경상남도 창원시 마산회원구 3·15대로 765합성동,055-296-6303,10:00 ~21:00
진주도동대리점,경상남도 진주시 대신로 342 (하대동),055-753-4437,10:00 ~21:00
마산상설(신발),경상남도 창원시 마산회원구 합포로 318(양덕동),055)298-6301,10:00 ~21:00
마산상설,경상남도 창원시 마산회원구 합포로 318(양덕동),055)298-6301,10:00 ~21:00
롯데김해직영,경상남도 김해시 장유로 469 롯데아울렛 김해점 2층,055-900-2743,10:00 ~20:00
삼천포,경상남도 사천시 중앙로 53 (선구동),055-832-5387,10:00 ~21:00
창녕중앙,경상남도 창녕군 창녕읍 종로 35,055-532-0808,10:00 ~21:00
창원대동(백),경남 창원시 성산구 상남동 44-1대동백화점3F,055)212-8928,10:00 ~20:00
하동,경상남도 하동군 하동읍 중앙로 27,055-884-7755,10:00 ~21:00
창원뉴코아,경남 창원시 의창구 창원대로397번길 6(팔용동) 뉴코아아울렛B1호,055-270-3500,10:00 ~20:00
함양,경상남도 함양군 함양읍 용평길 6-14,055)964-0033,10:00 ~21:00
진주신안,경상남도 진주시 진양호로 307 (신안동),055)742-4454,10:00 ~21:00
김해홈플러스,경상남도 김해시 김해대로 2078(내동) 홈플러스1층,055)320-8177,10:00 ~21:00
밀양대리점,경상남도 밀양시 석정로 31 (내일동),055)353-5678,10:00 ~21:00
신세계마산,"경남 창원시 마산합포구 합포로 251(산호동, 신세계백화점 6층)",055)240-1530,10:00 ~20:00
거창중앙,경상남도 거창군 거창읍 중앙로 116-3,055-944-2422,10:00 ~21:00
마산롯데마트,경남 창원시 마산합포구 신마산 시장길 33 롯데마트 1층,055-222-2462,10:00 ~21:00
남해,경남 남해군 남해읍 화전로 93,055-862-4455,10:00 ~21:00
진주모다아울렛,경상남도 진주시 정촌면 예하리 1276-1,055-923-1047,10:00 ~21:00
양산,경상남도 양산시 삼일로 68 (중부동),055)366-6787,10:00 ~21:00
T진주도동,경남 진주시하대동 327-19,0557534437,10:00 ~21:00
롯데진주직영상설,경상남도 진주시 충무공동 35번지 롯데아울렛 진주점 3층,055-791-2363,10:00 ~21:00
T창원대동(백),경남 창원시 성산구상남동 44-1 대동백화점3F,01050342111,10:00 ~21:00
T김해홈플러스,경상남도 김해시 김해대로2078 홈플러스 1층(내동),01038450846,10:00 ~21:00
T창원패션마켓,창원시 성산구 가음로 100남창원농협 2층 대동패션마켓,01066867224,10:00 ~21:00
(신)통영이마트,"경상남도 통영시광도면 죽림4로 9, 2층 이마트",055-643-2469,10:00 ~21:00
T(신)통영이마트,경남 통영시광도면 죽림4로 9,01028212553,10:00 ~21:00
T진해롯데마트,"경상남도 창원시 진해구진해대로 762 3층 석동, 롯데마트",0555456260,10:00 ~21:00
진해롯데마트,"경상남도 창원시 진해구진해대로 762 3층 석동, 롯데마트",0555456260,10:00 ~21:00
양산이마트,경남 양산시 양산역6길12 2층(중부동 신세계이마트  양산점),010-2227-9958,10:00 ~21:00
T양산이마트,경남 양산시 양산역6길12 2층(중부동 신세계이마트  양산점),010-2227-9958,10:00 ~21:00
창원패션마켓,경상남도 창원시 성산구 가음로 100,055-213-8722,10:00 ~21:00
T마산이마트,경남 창원시 마산합포구 서성로 3,055-248-2462,10:00 ~21:00
통영,경상남도 통영시 중앙로138 (항남동),0556484438,10:00 ~21:00
T마산롯데마트,경남 창원시 마산합포구 신마산시장길 33,055-222-2462,10:00 ~21:00
롯데의정부상설,경기도 의정부시 천보로 44 롯데아울렛 의정부점 3층,031-8092-2303,10:00 ~21:00
김해진영상설,경남 김해시 진영읍 진영리 797외그린상가4호,055-346-7330,10:00 ~21:00
롯데마산,경상남도 창원시 마산합포구동서동로18 (신포동2가),0552405466,10:00 ~20:00
T롯데마산,경상남도 창원시 마산합포구동서동로18 (신포동2가),0552405466,10:00 ~20:00
T창원이마트,"경남 창원시 성산구원이대로 608,2층 중앙동, 창원이마트",01032104273,10:00 ~21:00
창원이마트,"경남 창원시 성산구원이대로 608,2층 중앙동, 창원이마트",0552814273,10:00 ~21:00
롯데진주직영,경상남도 진주시 충무공동 35번지 롯데아울렛 진주점 3층,055-791-2363,10:00 ~20:00
T진주신안,경남 진주시진양호로 307 (신안동),055-742-4454,10:00 ~21:00
진주중앙,경상남도 진주시 진주대로 1082 (평안동),055-748-0985,10:00 ~21:00
T함양,경상남도 함양군 함양읍 용평길6-14,055-964-0033,10:00 ~21:00
T하동,경상남도 하동군 하동읍 중앙로27,055-884-7755,10:00 ~21:00
T거창중앙,경상남도 거창군 거창읍 중앙로116-3,055-944-2422,10:00 ~21:00
T남해,경남 남해군 남해읍 화전로93,055-862-4455,10:00 ~21:00
T통영,경상남도 통영시 중앙로138 (항남동),0556484438,10:00 ~21:00
T양산,경상남도 양산시 삼일로68 (중부동),055-366-6787,10:00 ~21:00
롯데마트웅상점(행사),경상남도 양산시 삼호1길34,010-6244-8453,10:00 ~21:00
롯데마트양덕점(행사),경상남도 창원시 마산회원구 삼호로80,010-6244-8453,10:00 ~21:00
진주중앙점(행사),경상남도 진주시 진주대로1082 (평안동),055-748-0985,10:00 ~21:00
경주대리점,경북 경주시 중앙로 40,054-749-8787,10:00 ~21:00
예천,경상북도 예천군 예천읍 시장로 88,054)652-0777,10:00 ~21:00
롯데포항,경북 포항시 북구 학산로 62(학산동),054-230-1554,10:00 ~20:00
상주,경상북도 상주시 상산로 289 (서성동),054)535-3483,10:00 ~21:00
점촌,경상북도 문경시 중앙로 109 (점촌동),054)553-3333,10:00 ~21:00
신하양,경상북도 경산시 하양읍 하양로 122,053)854-5553,10:00 ~21:00
포항죽도HYS(상설),경북 포항시 북구 중앙로 260,0542466464,10:00 ~21:00
포항죽도HYS,경북 포항시 북구 중앙로 260,0542466464,10:00 ~21:00
안강,경상북도 경주시 안강읍 비화동길 8-2,054)761-8383,10:00 ~21:00
영덕대리점,경북 영덕군 영덕읍 중앙길 105,054-732-1192,10:00 ~21:00
안동,경북 안동시 서동문로 174-4 (삼산동),054)858-6600,10:00 ~21:00
구미롯데마트,경북 구미시 구미대로 22길 112층(신평동),070-4388-5622,10:00 ~21:00
T구미롯데마트,경북 구미시 구미대로 22길 112층(신평동),070-4388-5622,10:00 ~21:00
구미직영점,경북 구미시원평2동 1008-46,0544528356,10:00 ~21:00
영주,경상북도 영주시구성로 353 (영주동),054-631-9003,10:00 ~21:00
포항웰빙아울렛,경상북도 포항시 남구 효자로70 효자프라자 웰빙아울렛(효자동),054-221-9987,10:00 ~21:00
영천,경상북도 영천시 시장로 48-1 (완산동),054)334-2900,10:00 ~21:00
김천,경상북도 김천시 김천로 125-2 (평화동),054)433-3131,10:00 ~21:00
중계2001,"서울시 노원구 동일로 204가길 46, 지하1층서울시 노원구 동일로 204가길 46, 지하1층",02-3399-8430,10:00 ~21:00
왜관대리점,경상북도 칠곡군 왜관읍 중앙로 180-1,054)974-1645,10:00 ~21:00
오천,경상북도 포항시 남구 오천읍 정몽주로 664,054)291-9498,10:00 ~21:00
레스모아,인천광역시 계양구 마장로51번길 7(효성동),02-721-0664,10:00 ~21:00
구미홈플러스직영상설,경북 구미시 구미대로174 홈플러스 구미점,010-3339-0375,10:00 ~21:00
T예천,경상북도 예천군 예천읍 시장로88,054-652-0777,10:00 ~21:00
T안강,경상북도 경주시 안강읍 비화동길8-2,054-761-8383,10:00 ~21:00
T점촌,경상북도 문경시 중앙로109 (점촌동),054-553-3333,10:00 ~21:00
T상주,경상북도 상주시 상산로289 (서성동),054-535-3483,10:00 ~21:00
T영천,경상북도 영천시 시장로48-1 (완산동),054-334-2900,10:00 ~21:00
T포항웰빙아울렛,경상북도 포항시 남구 효자로70 효자프라자 웰빙아울렛(효자동),054-221-9987,10:00 ~21:00
김천모다아울렛,경상북도 김천시 아포읍 아포대로1417 1층 프로스펙스,054-910-5074,10:00 ~21:00
T김천모다아울렛,경상북도 김천시 아포읍 아포대로1417 1층 프로스펙스,010-3339-0375,10:00 ~21:00
T포항웰빙아울렛,경상북도 포항시 남구 효자로70 효자프라자,054-221-9987,10:00 ~21:00
충장로(광주)NC,광주 광역시 동구 중앙로 163(충장로 4가),062-718-9538,10:00 ~20:00
T충장로(광주)NC,광주광역시 동구 중앙로 163NC WAVE 6층,062-718-9538,10:00 ~20:00
롯데광주,"광주광역시 동구 독립로 268(대인동 7-1번지, 롯데백화점 5층))",062-221-1546,10:00 ~20:00
신세계광주,광주광역시 서구 무진대로 932(광천동)  신세계백화점,062)360-1859,10:00 ~20:00
송정,광주광역시 광산구 광산로 21-1 (송정동),062)941-9292,10:00 ~21:00
광주용봉,광주광역시 북구 설죽로 224 (용봉동),062-523-1323,10:00 ~21:00
T동광주홈플러스,광주광역시 북구 동문대로 200홈플러스 2층 (두암동),01054200465,10:00 ~21:00
봉선이마트,"광주광역시 남구 봉선로 198, 2층봉선로 198, 2층",010-3054-3552,10:00 ~21:00
롯데아울렛광주월드컵점(상설),광주 서구 풍암동 금화로 240 롯데아울렛 광주월드컵점 2층,062-606-2942,10:00 ~20:00
롯데아울렛광주월드컵점,광주 서구 풍암동 금화로 240 롯데아울렛 광주월드컵점 2층,062-606-2942,10:00 ~20:00
동광주홈플러스,광주광역시 북구동문대로 200(두암동),0622510465,10:00 ~21:00
광주충장로직영,광주광역시 동구충장로 64-1(충장로3가),062-236-0522,10:00 ~21:00
